actor_name,filmo,code
서갑숙,핑크,10035325
이원종,핑크,10056895
장병문,핑크,20179446
정현호,핑크,20179858
권종현,핑크,20143473
주경철,핑크,20180055
김푸름,핑크,20181608
이지환,핑크,20181764
박주석,핑크,20183210
박현우,핑크,10029498
신상호,핑크,20184321
김영훈,홈 스위트 홈,20127292
유애경,홈 스위트 홈,10053811
이광수,홈 스위트 홈,10054838
임성권,홈 스위트 홈,20156013
정해영,홈 스위트 홈,20179849
정희섭,홈 스위트 홈,20113519
조영직,홈 스위트 홈,20179939
허진호,홈 스위트 홈,20180873
이미란,홈 스위트 홈,20180991
오진우,홈 스위트 홈,20184737
김종수,홈 스위트 홈,20163848
박주영,링,20185337
필립 세이모어 호프만,마지막 4중주,10086510
크리스토퍼 월켄,마지막 4중주,10077601
캐서린 키너,마지막 4중주,10074917
마크 이바니르,마지막 4중주,10024344
제임스 프랭코,스프링 브레이커스,20113898
셀레나 고메즈,스프링 브레이커스,20115412
바네사 허진스,스프링 브레이커스,10028008
애슐리 벤슨,스프링 브레이커스,10045603
라이언 레놀즈,터보,10014018
폴 지아마티,터보,10083789
마이클 페나,터보,10023591
사무엘 L. 잭슨,터보,10034095
루이스 구즈만,터보,10018602
스눕 독,터보,10038010
미쉘 로드리게즈,터보,10027294
리브 울만,페르소나,10019512
비비 안데르손,페르소나,10032934
하정우,더 테러 라이브,10087253
이경영,더 테러 라이브,10054755
전혜진,더 테러 라이브,20112423
이다윗,더 테러 라이브,10055073
이재관,더 테러 라이브,20181887
이춘연,더 테러 라이브,10057741
장성환,더 테러 라이브,20182405
전려경,더 테러 라이브,10061256
박수화,더 테러 라이브,20158700
김홍파,더 테러 라이브,20175721
김대명,더 테러 라이브,20200886
최진호,더 테러 라이브,20134082
니콜라스 케이지,스톨른,10008729
말린 애커맨,스톨른,10024955
조쉬 루카스,스톨른,10066257
박명수,개구쟁이 스머프 2,20151726
닐 패트릭 해리스,개구쟁이 스머프 2,20113745
크리스티나 리치,개구쟁이 스머프 2,10077797
알란 커밍,개구쟁이 스머프 2,10044263
행크 아자리아,개구쟁이 스머프 2,10088224
케이티 페리,개구쟁이 스머프 2,20170131
제이마 메이스,개구쟁이 스머프 2,10059308
크리스 에반스,설국열차,10077150
송강호,설국열차,10037018
에드 해리스,설국열차,10047586
존 허트,설국열차,10068587
틸다 스윈튼,설국열차,10081721
제이미 벨,설국열차,10063545
옥타비아 스펜서,설국열차,20128871
이완 브렘너,설국열차,10056914
고아성,설국열차,10001670
알리슨 필,설국열차,10045066
허찬,설국열차,20187111
이타이 슈체르베크,이고르와 학의 여행,20176601
토마슈 솝자크,이고르와 학의 여행,20176602
드리머 워커,컴플라이언스,10013231
앤 도드,컴플라이언스,10045648
팻 힐리,컴플라이언스,20176443
라이언 고슬링,플레이스 비욘드 더 파인즈,10014012
브래들리 쿠퍼,플레이스 비욘드 더 파인즈,10032109
에바 멘데스,플레이스 비욘드 더 파인즈,10048515
김수현,은밀하게 위대하게 (확장판),20125794
박기웅,은밀하게 위대하게 (확장판),10028507
이현우,은밀하게 위대하게 (확장판),20111526
손현주,은밀하게 위대하게 (확장판),20111125
타카야마 미나미,명탐정 코난 : 수평선상의 음모,10079345
야마자키 와카나,명탐정 코난 : 수평선상의 음모,10046583
카미야 아키라,명탐정 코난 : 수평선상의 음모,10000070
아만다 사이프리드,에픽 : 숲속의 전설,10041879
조쉬 허처슨,에픽 : 숲속의 전설,10066309
콜린 파렐,에픽 : 숲속의 전설,10076626
제이슨 서디키스,에픽 : 숲속의 전설,20114852
비욘세 놀즈,에픽 : 숲속의 전설,10033021
조니 녹스빌,에픽 : 숲속의 전설,10065526
크리스토프 왈츠,에픽 : 숲속의 전설,10077744
스티븐 타일러,에픽 : 숲속의 전설,10039564
한승연,에픽 : 숲속의 전설,20175020
정진운,에픽 : 숲속의 전설,20110334
줄리엣 곰버트,나에게서 온 편지,20175180
안나 르마르샹,나에게서 온 편지,20175181
아그네스 자우이,나에게서 온 편지,10041013
드니 포달리데스,나에게서 온 편지,10010849
이자벨 까레,나에게서 온 편지,10057137
자비에르 사무엘,베이트,10059234
샤니 빈슨,베이트,20115439
이봉규,죽지않아,10055683
차래형,죽지않아,20172721
한은비,죽지않아,20172722
이무생,죽지않아,10055385
니콜 키드먼,페이퍼보이: 사형수의 편지,10008581
잭 에프런,페이퍼보이: 사형수의 편지,10060933
존 쿠삭,페이퍼보이: 사형수의 편지,10068370
매튜 매커너히,페이퍼보이: 사형수의 편지,20113063
알렉스 브렌데뮬,페인리스,10044820
토마스 레마르쿼즈,페인리스,10080416
데렉 드 린트,페인리스,10010897
성은채,"가자, 장미여관으로",20177000
장성원,"가자, 장미여관으로",10060259
여민정,"가자, 장미여관으로",10049742
장혁,감기,10060612
수애,감기,10037539
박민하,감기,20175524
유해진,감기,10054128
이희준,감기,10058320
김기현,감기,20142516
이상엽,감기,20133596
박효주,감기,10029573
박정민,감기,20110693
최병모,감기,10072269
마동석,감기,10021341
차인표,감기,10071183
정석원,감기,10061814
나기찬,감기,20187615
정재형,감기,20182739
김남준,감기,20143847
한승희,감기,20143707
전상진,감기,20182514
이영수,감기,20183236
한정학,감기,20183659
이학수,감기,20164461
장슬기,감기,20182407
김태준,감기,20181590
박성철,감기,20185234
박예슬,감기,20125325
박진혁,감기,20138244
박희권,감기,10029587
유순철,감기,10053760
나윤성,감기,20237546
남문철,감기,10007518
케이티 롯츠,더 팩트,20178063
캐스퍼 반 디엔,더 팩트,10074946
헤일리 허드슨,더 팩트,10087888
키이라 나이틀리,세상의 끝까지 21일,10078551
스티브 카렐,세상의 끝까지 21일,10039193
손현주,숨바꼭질,20111125
문정희,숨바꼭질,10026802
전미선,숨바꼭질,10061272
장채린,숨바꼭질,20182437
김수안,숨바꼭질,20153744
김원해,숨바꼭질,20189746
노수산나,숨바꼭질,20231406
정준원,숨바꼭질,20189362
힐러리 더프,슈퍼윙스 3D,10091060
조쉬 더하멜,슈퍼윙스 3D,10066254
이리노 미유,언어의 정원,10055281
하나자와 카나,언어의 정원,20129635
히라노 후미,언어의 정원,10090934
레이첼 맥아담스,"패션, 위험한 열정",10015500
누미 라파스,"패션, 위험한 열정",20125860
배리 보스트윅,퍼시픽 모비딕,10030058
르네 오코널,퍼시픽 모비딕,10019204
아담 그림스,퍼시픽 모비딕,10041263
이덕재,허풍,20162982
김동수,허풍,10003951
박진위,허풍,20110761
지나,허풍,10069763
혜진,허풍,20183710
권윤덕,그리고 싶은 것,20153874
심달연,그리고 싶은 것,10040821
세이조 타시마,그리고 싶은 것,20153877
케이코 하마다,그리고 싶은 것,20153878
김여진,그리고 싶은 것,10004911
권현상,렛 미 아웃,20115762
박희본,렛 미 아웃,20113591
정보람,렛 미 아웃,20182631
조성민,렛 미 아웃,10065924
조윤형,렛 미 아웃,20182853
김남준,렛 미 아웃,20143850
최진수,렛 미 아웃,20183525
황상연,렛 미 아웃,20183838
박종환,렛 미 아웃,20135034
소민영,렛 미 아웃,20178404
오다정,렛 미 아웃,20186134
에구치 노리코,전쟁과 한 여자,10047407
나가세 마사토시,전쟁과 한 여자,10006655
남연우,가시꽃,20166701
양조아,가시꽃,20166702
홍정호,가시꽃,20133585
강기둥,가시꽃,20178407
임성균,가시꽃,20182176
정재영,가시꽃,20182735
김미란,가시꽃,20131372
한명수,가시꽃,20183605
김희성,가시꽃,20178406
제시 아이젠버그,나우 유 씨 미 : 마술사기단,10063284
마크 러팔로,나우 유 씨 미 : 마술사기단,10024081
우디 해럴슨,나우 유 씨 미 : 마술사기단,10052042
멜라니 로랑,나우 유 씨 미 : 마술사기단,10025926
아일라 피셔,나우 유 씨 미 : 마술사기단,10042525
데이브 프랑코,나우 유 씨 미 : 마술사기단,20175045
마이클 케인,나우 유 씨 미 : 마술사기단,10023474
모건 프리먼,나우 유 씨 미 : 마술사기단,10026087
에밀리 코제트,라 당스,20177260
오렐리 뒤퐁,라 당스,10059770
장리우,방독피,10060144
박지환,방독피,20110896
조영진,방독피,10066710
임수아,방독피,20182181
잇을,방독피,20182392
장현남,방독피,20182443
정병욱,방독피,20182630
정섬,방독피,20182641
정지선,방독피,20182747
정훈,방독피,10062467
조문식,방독피,10065807
조아라,방독피,10066414
지연,방독피,20182910
진지현,방독피,20182923
최기수,방독피,20182993
김경민,방독피,20145226
한동수,방독피,20183601
한휘수,방독피,20183681
홍경원,방독피,20183713
홍두현,방독피,20183717
홍준원,방독피,20183809
황인태,방독피,20183869
김은희,방독피,20115446
박성미,방독피,20185218
박지원,방독피,20185354
오태호,방독피,20159816
호시 소이치로,브레이크 블레이드6: 결전의 시간,10089235
사이토 치와,브레이크 블레이드6: 결전의 시간,20170157
양조위,일대종사,10047067
장쯔이,일대종사,10060548
송혜교,일대종사,10037291
장첸,일대종사,10060562
나오미 왓츠,투 마더스,20112741
로빈 라이트,투 마더스,10017363
자비에르 사무엘,투 마더스,10059234
제임스 프레체빌,투 마더스,20120503
벤 멘델슨,투 마더스,10031120
앨리 리버트,폭스파이어,20173042
케이티 코시니,폭스파이어,20173041
타마라 호프,폭스파이어,10079138
레이븐 애덤스,폭스파이어,20173040
라이언 레놀즈,R.I.P.D. : 알.아이.피.디.,10014018
제프 브리지스,R.I.P.D. : 알.아이.피.디.,10064638
케빈 베이컨,R.I.P.D. : 알.아이.피.디.,10075474
메리-루이스 파커,R.I.P.D. : 알.아이.피.디.,10025686
안현서,팬더와 친구들의 모험,20283251
가바 피터슨,북극의 후예 이누크,20178222
올레 톰센 하메켄,북극의 후예 이누크,20178223
잉그리드 버그만,가을 소나타,10058993
리브 울만,가을 소나타,10019512
엄태웅,건축학개론,10047367
한가인,건축학개론,10087363
이제훈,건축학개론,10057349
배수지,건축학개론,20125828
고준희,건축학개론,10001765
조정석,건축학개론,20121022
박지은,건축학개론,20183243
신민영,건축학개론,20184291
신예진,건축학개론,20184357
유연석,건축학개론,20111976
조현철,건축학개론,20192386
박진우,건축학개론,20110924
김의성,건축학개론,10005383
이승호,건축학개론,20160505
조영찬,달팽이의 별,20126220
김순호,달팽이의 별,20126221
누미 라파스,밀레니엄 : 제2부 불을 가지고 노는 소녀,20125860
미카엘 니크비스트,밀레니엄 : 제2부 불을 가지고 노는 소녀,10022862
엘레나 야코블레바,스페이스 독,10049984
안나 볼쇼바,스페이스 독,20127324
주윤발,양자탄비,10069145
강문,양자탄비,10000589
갈우,양자탄비,10000451
프랑수아 클뤼제,언터처블: 1%의 우정,10084454
오마 사이,언터처블: 1%의 우정,20126651
주현,해로 (偕老),10069209
예수정,해로 (偕老),10049950
이태구,해로 (偕老),20179067
정은옥,해로 (偕老),20179770
정택준,해로 (偕老),20179842
최부경,해로 (偕老),20180312
최진영,해로 (偕老),20180590
이상구,해로 (偕老),20181064
이상준,해로 (偕老),20181107
배준성,해로 (偕老),20142122
유상현,해로 (偕老),20184884
유승호,해로 (偕老),20151905
이경자,해로 (偕老),20185136
우현,해로 (偕老),10052293
맷 데이먼,엘리시움,10025511
조디 포스터,엘리시움,10065670
샬토 코플리,엘리시움,20113516
윌리엄 피츠너,엘리시움,10053319
주영호,우리들의 헤어진 여자친구,20113225
심호성,우리들의 헤어진 여자친구,20185819
오연재,우리들의 헤어진 여자친구,20178441
임은정,우리들의 헤어진 여자친구,20182329
애쉬튼 커처,잡스,10045585
조시 게드,잡스,10066247
더못 멀로니,잡스,10010595
매튜 모딘,잡스,10025157
후지와라 타츠야,짚의 방패,20071684
오사와 타카오,짚의 방패,10050598
마츠시마 나나코,짚의 방패,10023911
프랑소아 다미앙,탱고 위드 미,10084416
앤느 폴리세비치,탱고 위드 미,10045761
세르지 로페즈,탱고 위드 미,10036001
잔 해멘넥커,탱고 위드 미,10046803
줄리 델피,2 데이즈 인 뉴욕,10069302
크리스 록,2 데이즈 인 뉴욕,10077046
알버트 델피,2 데이즈 인 뉴욕,10045143
알렉상드르 나혼,2 데이즈 인 뉴욕,20177620
오토다케 히로타다,괜찮아 3반,20177660
코쿠분 타이치,괜찮아 3반,10076424
에이쿠라 나나,괜찮아 3반,10048891
조재현,뫼비우스,10066929
서영주,뫼비우스,20125821
이은우,뫼비우스,10057015
이정훈,뫼비우스,20181927
장철민,뫼비우스,20182438
안노 히데아키,바람이 분다,20090632
타키모토 미오리,바람이 분다,20178280
엠마 왓슨,블링 링,10049635
케이티 창,블링 링,20176461
이스라엘 부르사드,블링 링,20176462
설경구,스파이,10035772
문소리,스파이,10026732
다니엘 헤니,스파이,10088518
고창석,스파이,10001779
한예리,스파이,20090447
라미란,스파이,10013826
서승인,스파이,20185490
이대수,스파이,20141082
이성제,스파이,20186181
최승현,스파이,20157485
오대환,스파이,20111279
이무생,스파이,10055385
강석철,스파이,20168262
김종수,스파이,20163848
조영진,스파이,10066710
마리오 마우러,잔다라: 더 비기닝,20178340
야야잉,잔다라: 더 비기닝,20178341
봉코이 콩말라이,잔다라: 더 비기닝,10031643
니시노 쇼,잔다라: 더 비기닝,20166434
강신일,천안함 프로젝트,10000736
이희은,천안함 프로젝트,20182149
조다인,천안함 프로젝트,10064983
고승민,천안함 프로젝트,20183018
홍성기,천안함 프로젝트,20183729
로버트 드니로,킬링시즌,10016564
존 트라볼타,킬링시즌,10068438
마일로 벤티밀리아,킬링시즌,10023788
미나 탄더,포가튼 : 잊혀진 소녀,10026950
카타리나 탈바흐,포가튼 : 잊혀진 소녀,10074102
로라 드 보어,포가튼 : 잊혀진 소녀,20176343
송강호,관상,10037018
이정재,관상,10057315
백윤식,관상,10030351
조정석,관상,20121022
이종석,관상,20127912
김혜수,관상,10006380
신기원,관상,20185678
윤종구,관상,20186015
윤희원,관상,20186039
이도엽,관상,20186076
권영각,관상,20186463
김길동,관상,20186501
정준식,관상,20186795
조훈휘,관상,20186982
표유신,관상,20138300
하정수,관상,20139596
한만영,관상,20140966
노준표,관상,20141847
문혜진,관상,20187169
박진우,관상,20110900
전신환,관상,20113003
김강현,관상,10000476
유재명,관상,20152117
김의성,관상,10005383
정대용,관상,10061659
김재만,낭만파 남편의 편지,10005485
신소현,낭만파 남편의 편지,20178025
임성철,낭만파 남편의 편지,20156351
정우정,낭만파 남편의 편지,20182719
최석용,낭만파 남편의 편지,20183063
최천웅,낭만파 남편의 편지,20183539
오선아,낭만파 남편의 편지,20186139
최재호,낭만파 남편의 편지,20274611
빌리 크리스탈,몬스터 대학교,10033706
존 굿맨,몬스터 대학교,10067536
스티브 부세미,몬스터 대학교,10039091
롭 리글,몬스터 대학교,20168025
피터 손,몬스터 대학교,10085861
하비에르 드롤라스,부에노스 아이레스에서 사랑에 빠질 확률,20177681
피욜라 로페즈 드 아야라,부에노스 아이레스에서 사랑에 빠질 확률,10086328
릴리 콜린스,섀도우 헌터스: 뼈의 도시,20113051
제이미 캠벨 바우어,섀도우 헌터스: 뼈의 도시,10063568
케빈 지거스,섀도우 헌터스: 뼈의 도시,10075525
제미마 웨스트,섀도우 헌터스: 뼈의 도시,10020998
레나 헤디,섀도우 헌터스: 뼈의 도시,10014824
조나단 리스 마이어스,섀도우 헌터스: 뼈의 도시,10065333
알 파치노,슈퍼배드 2,10044051
스티브 카렐,슈퍼배드 2,10039193
미란다 코스그로브,슈퍼배드 2,20112358
태연,슈퍼배드 2,20167017
서현,슈퍼배드 2,20171900
정유미,우리 선희,10062071
이선균,우리 선희,10055970
김상중,우리 선희,10004437
정재영,우리 선희,10062184
이민우,우리 선희,20111414
예지원,우리 선희,10049959
박주희,우리 선희,20112298
로건 레먼,퍼시 잭슨과 괴물의 바다,10015755
알렉산드리아 다다리오,퍼시 잭슨과 괴물의 바다,20131254
브랜든 T. 잭슨,퍼시 잭슨과 괴물의 바다,10032168
칼 웨더스,아메리칸 배틀쉽,10074357
베라 파미가,컨저링,10030781
패트릭 윌슨,컨저링,10082678
릴리 테일러,컨저링,10021068
